% Created by Marsyas
@relation bluesMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.216852,0.456904,0.053239,-36.821340,2.094768,0.120837,0.850535,0.288516,0.242366,0.411957,0.423737,0.169403,0.351121,0.182182,0.231842,0.096551,0.032953,0.079174,0.024544,3.503512,0.482633,0.449788,0.316553,0.301675,0.279474,0.296784,0.306322,0.273850,0.320159,0.276225,0.300812,0.287930,0.197652,0.379380,0.037170,26.384518,1.506295,0.217512,0.619710,0.221906,0.185306,0.326307,0.345038,0.193181,0.294529,0.184066,0.229346,0.142799,0.034741,0.072122,0.030969,6.082797,0.412232,0.323498,0.231779,0.214703,0.196670,0.206791,0.225876,0.197400,0.225444,0.204011,0.214614,0.214185,blues
0.225012,0.469774,0.060983,-40.461852,2.153590,0.284830,1.260123,0.768068,0.444543,0.445580,0.195548,0.294700,0.323075,0.363878,0.239891,0.206162,0.046376,0.108525,0.034295,5.874503,1.111860,0.613477,0.624255,0.432320,0.375527,0.292007,0.281154,0.349875,0.338076,0.285208,0.296666,0.351382,0.197280,0.380738,0.042509,28.990606,1.634125,0.339923,0.941333,0.589518,0.375447,0.362616,0.187235,0.274982,0.282315,0.283879,0.200773,0.216812,0.051071,0.102090,0.038751,7.221299,0.812181,0.435456,0.492009,0.309645,0.265582,0.207240,0.198596,0.255502,0.245022,0.203829,0.213686,0.250626,blues
0.202187,0.398914,0.049439,-48.268371,3.706709,0.741718,2.401274,0.355283,0.744931,0.335076,0.487000,0.211565,0.303315,-0.044227,0.142288,0.426200,0.030945,0.064725,0.024886,6.324412,0.939588,1.092582,0.809148,0.480813,0.469558,0.406359,0.423231,0.394518,0.367413,0.447505,0.423316,0.380154,0.213609,0.431274,0.034220,34.588962,2.683765,1.035770,1.771993,0.357260,0.639026,0.310091,0.446294,0.228710,0.282575,0.209493,0.285236,0.407697,0.051714,0.103860,0.037900,8.130160,0.771712,0.831301,0.619522,0.364033,0.363894,0.308523,0.326656,0.301358,0.273664,0.331442,0.348100,0.293550,blues
0.225744,0.459959,0.053245,-36.724315,2.872195,0.126532,0.803958,0.284903,0.083231,0.341969,0.199459,0.346014,0.136409,0.207283,0.348229,0.127762,0.028807,0.070664,0.026228,3.421906,0.644205,0.576042,0.593664,0.414319,0.388551,0.366921,0.372914,0.382746,0.354522,0.321462,0.336352,0.378386,0.196527,0.387093,0.036993,26.332963,2.068093,0.200815,0.659762,0.393809,0.175127,0.311968,0.219924,0.314303,0.165539,0.211643,0.259610,0.209257,0.045206,0.090934,0.038312,6.060711,0.543438,0.421730,0.432171,0.302368,0.280527,0.259759,0.265376,0.273488,0.261610,0.226929,0.241912,0.284194,blues
0.209456,0.406209,0.051596,-47.502925,4.241404,0.590224,1.837594,0.410622,0.895627,0.086717,-0.071337,0.432323,0.226064,0.281440,0.455960,0.553238,0.028804,0.058106,0.027105,5.726661,1.057214,0.764350,0.733462,0.491575,0.438272,0.456420,0.377053,0.394110,0.381801,0.368276,0.420490,0.440668,0.210214,0.429286,0.035879,34.283828,3.179208,0.960820,1.502974,0.596051,0.733038,0.498491,0.272043,0.386304,0.271192,0.329177,0.405627,0.449757,0.047355,0.094483,0.037818,7.567576,0.885312,0.601497,0.615492,0.355257,0.317546,0.328904,0.275252,0.303130,0.290412,0.266577,0.315729,0.338321,blues
0.215173,0.430776,0.056627,-39.900433,3.948864,-0.223582,0.698926,0.453934,0.586199,0.195209,0.433801,0.294020,0.233450,0.330478,0.230632,0.153211,0.030577,0.062215,0.029216,4.813438,0.937419,0.732443,0.472367,0.455160,0.370243,0.384544,0.345535,0.308731,0.332731,0.316238,0.289445,0.296177,0.204424,0.408341,0.039588,28.636941,2.867540,0.521698,0.543348,0.369215,0.452174,0.199903,0.326202,0.227707,0.231571,0.250351,0.216810,0.191073,0.048277,0.094319,0.038044,6.461151,0.822927,0.534773,0.349556,0.334966,0.265997,0.294823,0.245499,0.228020,0.257292,0.229588,0.204719,0.220169,blues
0.199130,0.409799,0.049757,-51.557471,3.654412,0.778517,1.714608,0.745261,0.779896,0.090775,-0.131287,0.531871,0.328295,0.211497,0.567503,0.413841,0.032201,0.113144,0.025292,7.189113,1.016243,0.811770,0.636452,0.509203,0.385277,0.487473,0.414350,0.359943,0.390516,0.385723,0.404889,0.346009,0.216209,0.423665,0.034624,37.327423,2.674100,0.939805,1.257944,0.621236,0.592388,0.405411,0.229862,0.445151,0.376787,0.312789,0.519689,0.356921,0.050502,0.122696,0.037799,8.086466,0.883150,0.656195,0.526788,0.390765,0.280325,0.386291,0.321194,0.269098,0.294030,0.287750,0.321001,0.251727,blues
0.215413,0.448431,0.053944,-41.588488,1.925893,1.293163,1.443044,0.678409,0.921858,0.433249,0.543729,0.389196,0.085634,0.309267,0.489017,-0.031190,0.032277,0.097681,0.028069,3.989748,0.651814,0.594310,0.504929,0.425080,0.403160,0.384330,0.351610,0.333673,0.293702,0.287160,0.289574,0.270439,0.204442,0.398549,0.037556,29.840113,1.415369,1.006380,1.082365,0.530221,0.708903,0.363724,0.441401,0.352554,0.142286,0.258213,0.395771,0.177835,0.046473,0.095409,0.038042,6.753974,0.476536,0.449798,0.377531,0.313544,0.304380,0.275481,0.251714,0.246833,0.214388,0.209079,0.212851,0.194190,blues
0.201887,0.394819,0.048403,-51.031349,4.982743,1.104793,0.927919,0.350895,0.738839,0.365352,0.600792,0.356320,0.414563,0.539174,0.368915,0.136158,0.027669,0.060864,0.027762,4.795769,1.115979,0.646872,0.513647,0.430123,0.382435,0.384903,0.447444,0.379700,0.357676,0.346049,0.330772,0.344020,0.214144,0.434645,0.033640,36.813340,3.684403,1.138104,0.776995,0.523859,0.567671,0.322042,0.531801,0.409137,0.398866,0.436658,0.403855,0.365220,0.051287,0.107446,0.037844,8.144040,0.934116,0.499368,0.407130,0.328757,0.310053,0.283643,0.346499,0.297302,0.285640,0.255006,0.246030,0.286957,blues
0.206530,0.430224,0.050219,-43.048413,2.674738,0.513805,1.561961,0.517101,0.771462,0.392843,0.449048,0.503186,0.432243,0.430624,0.198096,0.138115,0.031817,0.092285,0.030561,4.818326,0.889867,0.580562,0.589590,0.546595,0.492161,0.351608,0.310223,0.367074,0.334617,0.375972,0.281536,0.332961,0.210759,0.410353,0.034997,30.889256,2.005485,0.576057,1.206241,0.749140,0.737563,0.397338,0.376411,0.491487,0.382177,0.395445,0.228493,0.357605,0.047462,0.095766,0.038394,7.251470,0.697024,0.465981,0.462021,0.433952,0.389484,0.259708,0.219681,0.290423,0.257992,0.275390,0.206736,0.258065,blues
