% Created by Marsyas
@relation jazzMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.195892,0.407404,0.045418,-41.047937,2.390416,1.000916,0.938654,0.174082,0.637345,0.500046,0.131801,0.153347,0.281192,0.059287,0.247872,0.113906,0.026028,0.083990,0.023944,4.051399,0.877921,0.559293,0.447137,0.352888,0.296141,0.275778,0.284884,0.281203,0.284914,0.389603,0.269919,0.321445,0.210274,0.411143,0.031364,29.196222,1.770808,0.805831,0.721169,0.279107,0.487180,0.384296,0.256246,0.267796,0.284680,0.346044,0.275444,0.288462,0.037300,0.083981,0.031295,6.777904,0.737287,0.417188,0.323919,0.262568,0.213446,0.201748,0.206395,0.208885,0.207798,0.307259,0.213201,0.255175,jazz
0.210132,0.419554,0.051193,-44.859045,4.240745,0.914128,1.277560,0.239890,0.905640,-0.439729,0.319293,0.124591,0.434711,0.257397,0.155087,0.209996,0.027564,0.069042,0.026574,5.542539,1.141004,0.569519,0.357810,0.294897,0.404839,0.343800,0.289170,0.285341,0.291671,0.294332,0.306959,0.333466,0.207757,0.416651,0.035775,32.268350,3.127282,0.766363,0.937573,0.291708,0.752340,0.444863,0.280953,0.205045,0.366648,0.276470,0.194242,0.282496,0.049955,0.103363,0.038106,7.600160,0.997975,0.410533,0.281399,0.213622,0.305158,0.261191,0.211336,0.235575,0.223978,0.230475,0.232250,0.299610,jazz
0.199891,0.398702,0.044654,-39.575715,3.971925,0.097382,1.350594,0.274092,0.474046,0.178607,0.148901,0.274894,0.164511,0.245209,0.228110,0.133728,0.022558,0.051537,0.025943,4.029950,0.723610,0.556245,0.347199,0.264602,0.275179,0.255194,0.253667,0.269243,0.279333,0.246630,0.235313,0.220078,0.214920,0.430586,0.030843,28.283743,2.875360,0.285951,0.975226,0.222094,0.359795,0.172073,0.177149,0.264002,0.170432,0.197965,0.191357,0.153241,0.050584,0.100660,0.038178,6.837542,0.639663,0.396645,0.288494,0.189439,0.194045,0.178490,0.185463,0.194960,0.205253,0.182760,0.167902,0.159037,jazz
0.189927,0.372680,0.050625,-46.294788,4.029237,1.206241,1.155468,0.463080,0.498116,0.366533,0.325779,0.310758,0.406744,0.277536,0.166216,0.140827,0.025324,0.052104,0.029563,5.204406,1.230630,0.686176,0.424278,0.369235,0.347864,0.282148,0.321872,0.336635,0.380845,0.309539,0.325052,0.355460,0.217854,0.440720,0.034884,32.578299,2.909349,1.050144,0.839427,0.432579,0.509650,0.384688,0.387350,0.394707,0.538354,0.388401,0.341872,0.321250,0.049493,0.099292,0.037858,7.188525,0.897329,0.502014,0.310514,0.279522,0.258372,0.208420,0.234214,0.276133,0.328364,0.253734,0.301604,0.330562,jazz
0.201231,0.408934,0.047096,-40.287088,2.357747,0.508233,1.038936,0.288611,0.606124,0.589514,0.252263,0.160633,0.374891,0.419283,0.447377,0.109096,0.025313,0.068252,0.026025,3.378664,0.671506,0.556119,0.442813,0.323108,0.319142,0.300744,0.301742,0.296932,0.285770,0.287885,0.277164,0.259009,0.211010,0.418469,0.032059,28.447706,1.714529,0.435095,0.765714,0.256149,0.447301,0.454892,0.217192,0.186299,0.288328,0.321509,0.336382,0.147678,0.048294,0.094435,0.038120,6.545683,0.510076,0.394734,0.308111,0.230682,0.220899,0.217339,0.215851,0.208387,0.202013,0.200389,0.192397,0.179606,jazz
0.201106,0.387725,0.049188,-47.098250,3.998524,1.072406,1.383733,0.359393,0.822035,0.688492,0.065948,0.075804,-0.059319,-0.034411,0.112599,0.256711,0.020875,0.046067,0.028880,4.096737,0.893651,0.365910,0.369213,0.264143,0.242548,0.247625,0.243326,0.213193,0.206265,0.259144,0.256473,0.298947,0.214223,0.438857,0.034287,33.791622,2.911918,0.800766,1.016267,0.329765,0.604523,0.512384,0.257321,0.176009,0.227168,0.278289,0.288451,0.433734,0.050069,0.102985,0.038156,7.833883,0.805782,0.272996,0.294682,0.188976,0.184751,0.178372,0.179823,0.149466,0.146329,0.198041,0.206526,0.279753,jazz
0.224071,0.441782,0.051198,-43.206734,3.039889,-0.368041,1.153440,0.103428,0.565433,0.348324,0.543493,0.536320,0.495874,0.230235,0.296816,0.224532,0.030925,0.064236,0.027154,4.340393,0.872274,0.690246,0.494543,0.440386,0.407643,0.464047,0.475219,0.503842,0.482807,0.451560,0.405535,0.350267,0.198083,0.401959,0.035692,31.096435,2.261947,0.556969,1.023399,0.298545,0.496777,0.395508,0.633313,0.499459,0.446529,0.302233,0.301801,0.285685,0.045622,0.092651,0.038319,7.065204,0.710982,0.537134,0.362896,0.362366,0.305585,0.353234,0.379498,0.449246,0.422805,0.384430,0.328505,0.278888,jazz
0.202904,0.392692,0.048900,-47.604810,4.549770,0.714609,1.271107,0.123793,0.406662,0.238369,0.363016,0.563542,0.376992,0.201245,0.043057,-0.179822,0.021351,0.043329,0.027707,4.362593,0.998515,0.415026,0.383898,0.369683,0.277610,0.252227,0.281643,0.328059,0.278565,0.323528,0.342816,0.392345,0.213516,0.435790,0.033945,34.301127,3.380398,0.757501,1.030029,0.515583,0.357860,0.295990,0.362949,0.471088,0.306338,0.432523,0.483438,0.737905,0.048715,0.101661,0.037809,7.788693,0.916971,0.341309,0.293923,0.280727,0.202398,0.183864,0.216230,0.253262,0.211988,0.261915,0.294212,0.327208,jazz
0.244382,0.502706,0.048528,-39.701342,2.038922,0.290366,1.344026,0.273316,0.131336,0.266949,0.199120,0.285030,0.107854,0.192320,0.183020,-0.081341,0.036648,0.093281,0.025628,4.274981,0.784859,0.552194,0.387381,0.338978,0.316411,0.279665,0.342800,0.340506,0.276116,0.279136,0.423920,0.452122,0.183058,0.356177,0.033605,28.504161,1.483893,0.326008,0.993118,0.299455,0.179197,0.225830,0.346717,0.268875,0.325657,0.269392,0.460564,0.377476,0.044725,0.091199,0.038433,6.360824,0.638960,0.415251,0.300283,0.247903,0.233638,0.201411,0.248396,0.283786,0.208849,0.214674,0.367079,0.390689,jazz
0.210145,0.419558,0.048128,-44.855380,4.238892,0.913763,1.278063,0.239636,0.905579,-0.439249,0.319123,0.124436,0.434630,0.257597,0.155100,0.209878,0.027568,0.069044,0.025779,5.538967,1.139601,0.568699,0.357710,0.294892,0.404610,0.344019,0.288787,0.285115,0.291760,0.294500,0.306907,0.333672,0.207748,0.416648,0.033546,32.265331,3.125683,0.765850,0.938055,0.291766,0.752008,0.444829,0.281032,0.204973,0.366411,0.276703,0.194008,0.282353,0.049955,0.103367,0.038096,7.599144,0.996952,0.409924,0.281270,0.213620,0.304751,0.261490,0.211002,0.235219,0.223999,0.230741,0.232123,0.299567,jazz
