% Created by Marsyas
@relation metalMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.230193,0.500562,0.052123,-35.997079,2.003477,0.026333,0.898324,0.166568,0.433407,0.128403,0.538544,0.263977,0.278876,0.318743,0.277609,0.198436,0.031232,0.078040,0.026012,3.503959,0.588163,0.394615,0.434072,0.313111,0.334620,0.306394,0.321978,0.268182,0.300688,0.257829,0.262644,0.241692,0.189325,0.351501,0.036679,25.912880,1.467838,0.140590,0.707049,0.195634,0.336341,0.204953,0.405824,0.247661,0.289000,0.246961,0.235561,0.170714,0.034582,0.073139,0.029710,5.803043,0.458213,0.302963,0.331254,0.233675,0.238441,0.228826,0.230175,0.196078,0.241246,0.184305,0.189018,0.175310,metal
0.257719,0.550431,0.048635,-39.887686,1.345064,-0.386837,1.153031,0.321348,0.880931,0.512018,0.304085,0.437741,0.521532,0.356659,0.215710,0.256694,0.042255,0.081016,0.025439,3.308008,0.496433,0.537439,0.451417,0.384003,0.350564,0.301175,0.259920,0.275390,0.267034,0.266634,0.277151,0.268110,0.173913,0.322836,0.033651,28.577695,0.984352,0.428812,0.847611,0.315599,0.657143,0.382416,0.241890,0.327590,0.392702,0.269936,0.201444,0.236077,0.042966,0.082034,0.038409,6.655900,0.388520,0.386107,0.347173,0.290595,0.259004,0.220441,0.184406,0.194440,0.191586,0.191230,0.201122,0.195485,metal
0.240893,0.517585,0.046616,-36.599748,2.192801,0.001562,0.872679,0.125731,0.397619,0.384804,0.265909,0.446499,0.411794,0.326674,0.096843,0.253795,0.032671,0.078590,0.024700,2.588729,0.466777,0.410768,0.399156,0.294613,0.281436,0.268862,0.247930,0.278098,0.242224,0.237162,0.233211,0.250410,0.185900,0.346333,0.032230,26.247270,1.602560,0.277062,0.692298,0.199465,0.339565,0.310273,0.242066,0.359625,0.325402,0.259748,0.165570,0.239980,0.042306,0.083165,0.038422,6.083535,0.415573,0.305355,0.300731,0.219947,0.202905,0.193041,0.175376,0.199413,0.173908,0.167739,0.168819,0.182650,metal
0.268279,0.604821,0.048291,-35.600006,0.847911,0.559663,1.089980,0.128068,0.484990,0.031738,0.408476,0.130100,0.320341,0.223686,0.201031,0.284899,0.035187,0.059431,0.025991,2.685633,0.398176,0.415768,0.427620,0.295566,0.328086,0.269795,0.271025,0.241225,0.263728,0.230693,0.249264,0.221941,0.166223,0.284274,0.033525,25.475188,0.639896,0.434564,0.797744,0.165066,0.356081,0.104575,0.315039,0.142425,0.245462,0.189763,0.178337,0.234503,0.039239,0.065355,0.038171,6.089646,0.292775,0.316502,0.318831,0.209951,0.236751,0.197692,0.190704,0.174113,0.188906,0.161529,0.182300,0.160928,metal
0.265315,0.601250,0.041724,-42.657752,0.952739,0.196056,1.221714,0.174901,0.249684,0.551670,0.416292,0.363189,0.453458,0.393191,0.382672,0.328942,0.046428,0.108152,0.023103,3.267212,0.505079,0.409338,0.453968,0.335659,0.335759,0.306980,0.275938,0.263404,0.250652,0.245874,0.224821,0.215781,0.169534,0.288293,0.028999,30.686584,0.714941,0.282880,0.899179,0.166698,0.218720,0.419545,0.311235,0.269239,0.334326,0.289168,0.275295,0.243828,0.042125,0.083693,0.038515,7.043023,0.365320,0.314750,0.353725,0.244645,0.242852,0.226808,0.203390,0.194306,0.178547,0.177895,0.159298,0.151056,metal
0.276734,0.585979,0.046513,-40.589964,0.646109,0.185008,1.423386,-0.036933,0.217290,0.591270,0.414593,0.305268,0.459405,0.386466,0.374374,0.286334,0.037801,0.066576,0.023989,3.096164,0.482660,0.395232,0.454223,0.326904,0.310944,0.308895,0.267810,0.245018,0.247624,0.238487,0.219564,0.217066,0.160876,0.298247,0.032291,29.199435,0.511898,0.283472,1.042902,0.119360,0.193744,0.451515,0.312175,0.232421,0.344797,0.287238,0.269105,0.217854,0.039076,0.072667,0.038420,6.717724,0.342771,0.296943,0.358681,0.241343,0.226028,0.230379,0.197463,0.181821,0.177408,0.171988,0.155317,0.154187,metal
0.287163,0.633491,0.049049,-35.842010,0.630369,0.749719,0.868301,0.194274,0.431189,0.066541,0.521532,0.151648,0.364324,0.286133,0.297644,0.300928,0.042554,0.066088,0.026823,2.641471,0.374102,0.405999,0.359375,0.274452,0.295140,0.271111,0.254504,0.242437,0.238581,0.227016,0.234225,0.222608,0.153821,0.264805,0.034030,25.672537,0.601454,0.632367,0.651440,0.206024,0.338790,0.123578,0.394153,0.162381,0.266682,0.214854,0.224045,0.249316,0.039519,0.066225,0.038514,6.055938,0.271999,0.301574,0.285323,0.205101,0.220130,0.206980,0.187409,0.177614,0.171997,0.164265,0.174195,0.158328,metal
0.233496,0.483620,0.046948,-39.447557,2.433410,-0.046029,0.385997,0.106831,0.413039,0.503067,0.563967,0.160426,0.208537,0.631762,0.666161,0.359071,0.034365,0.083829,0.024752,2.669554,0.516281,0.357750,0.304751,0.301655,0.273213,0.300312,0.287056,0.282900,0.278733,0.280362,0.273315,0.252469,0.190886,0.369946,0.032528,28.319773,1.748336,0.170653,0.322065,0.209419,0.318363,0.385560,0.432018,0.228994,0.221737,0.482502,0.526772,0.323138,0.047664,0.095582,0.038096,6.689781,0.495927,0.275016,0.215210,0.221893,0.190631,0.216402,0.200801,0.203421,0.210837,0.199974,0.196406,0.183340,metal
0.239567,0.536984,0.047825,-40.145214,1.410272,0.788317,1.603047,0.301425,0.332460,0.264268,0.422255,0.469932,0.528660,0.471445,0.210600,0.273962,0.038634,0.091081,0.024653,3.169313,0.560558,0.428065,0.445382,0.290262,0.284169,0.287286,0.248602,0.244338,0.259761,0.244009,0.220806,0.237448,0.187929,0.335835,0.033201,28.931273,1.090783,0.628112,1.165002,0.265454,0.281722,0.247422,0.335150,0.364830,0.394902,0.349559,0.180523,0.224646,0.043675,0.080554,0.038201,6.453496,0.420661,0.340824,0.361957,0.218869,0.212652,0.213237,0.182167,0.178549,0.187131,0.171745,0.160395,0.174357,metal
0.194971,0.392125,0.048975,-41.724034,2.441530,0.772392,1.529833,0.388725,0.591953,0.199048,0.530129,0.322955,0.547686,0.400872,0.198260,0.369151,0.023521,0.064067,0.026169,3.827280,0.616672,0.495138,0.520449,0.303985,0.347350,0.284241,0.261750,0.294087,0.286839,0.274003,0.263868,0.259509,0.218929,0.436103,0.034074,29.927987,1.801695,0.724120,1.117468,0.307507,0.462247,0.207297,0.431084,0.299629,0.415555,0.323531,0.201225,0.311733,0.051690,0.104266,0.037901,7.162597,0.496338,0.360304,0.396572,0.216298,0.260989,0.205046,0.192820,0.227053,0.214627,0.197378,0.193918,0.187984,metal
