% Created by Marsyas
@relation classicalMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.204129,0.401420,0.047616,-45.416380,4.934899,-0.397510,1.079900,0.080980,0.498847,0.152445,0.168039,0.121802,0.158440,0.163333,0.195549,0.112471,0.015466,0.032799,0.022580,4.146488,0.821071,0.315019,0.353214,0.301730,0.300646,0.315648,0.316338,0.353947,0.387047,0.356394,0.331485,0.304986,0.206327,0.417222,0.033192,32.548885,3.568951,0.325720,0.803371,0.179289,0.392838,0.216837,0.260587,0.292557,0.333692,0.317675,0.285454,0.235215,0.034875,0.071116,0.030510,7.622089,0.892366,0.226368,0.258057,0.216371,0.212678,0.235405,0.226178,0.265989,0.296203,0.271730,0.252528,0.219911,classical
0.209815,0.418033,0.048373,-50.376531,4.853896,-0.135044,1.476860,0.034704,0.330613,0.210190,0.529311,0.474342,0.227097,0.269111,0.327360,0.313134,0.023441,0.055004,0.025006,4.770383,0.841916,0.362699,0.362607,0.338452,0.307920,0.329713,0.335959,0.351464,0.305096,0.313340,0.322079,0.333429,0.208487,0.418491,0.033547,36.152058,3.606101,0.236710,1.077693,0.251811,0.271442,0.213801,0.479571,0.391923,0.270232,0.255093,0.327702,0.308056,0.047693,0.095359,0.038232,8.901241,0.863763,0.263761,0.294181,0.244333,0.217469,0.236237,0.250429,0.258575,0.218607,0.231684,0.244321,0.246141,classical
0.214909,0.427770,0.046509,-48.541890,4.757166,-0.453726,1.252046,0.461141,0.666684,0.199490,0.319923,0.195253,0.195036,0.174901,0.409633,0.378780,0.028155,0.056340,0.025142,4.902425,0.948874,0.533494,0.399630,0.360091,0.341857,0.343235,0.365307,0.359567,0.384405,0.531168,0.442723,0.517305,0.204339,0.410323,0.032322,35.042809,3.488321,0.500652,0.917741,0.567625,0.508510,0.223039,0.322798,0.239399,0.238951,0.268870,0.408843,0.363349,0.047517,0.096245,0.038071,8.315233,0.959246,0.435914,0.307823,0.275802,0.264551,0.261264,0.266070,0.264181,0.298572,0.434488,0.352138,0.403585,classical
0.236198,0.479010,0.048281,-44.877253,2.738503,-0.652879,1.248159,0.054396,0.256824,0.186171,0.377757,0.362884,0.221899,0.151428,0.117724,0.230163,0.032478,0.061010,0.024853,3.472905,0.710592,0.374029,0.364429,0.319082,0.364096,0.372113,0.374777,0.428766,0.395137,0.385636,0.360544,0.324395,0.191580,0.375795,0.033404,32.305391,2.258113,0.531980,0.935734,0.200243,0.281425,0.322396,0.340631,0.477401,0.265716,0.264283,0.165231,0.243595,0.043868,0.083961,0.038434,7.580531,0.637658,0.297140,0.287752,0.245671,0.295090,0.310393,0.298509,0.333144,0.312540,0.297582,0.297800,0.247730,classical
0.222111,0.431583,0.046270,-50.370841,3.821666,-0.235858,1.045275,0.139280,0.471473,-0.053222,0.112615,0.116070,0.134473,0.385737,0.251124,0.250009,0.025921,0.052441,0.024803,4.742683,0.775402,0.597587,0.425664,0.407871,0.389458,0.403321,0.456908,0.433873,0.508626,0.492192,0.471899,0.356762,0.200316,0.408541,0.032063,36.376324,2.834205,0.448597,0.813939,0.318511,0.504041,0.313512,0.430512,0.374207,0.406398,0.508851,0.432323,0.374874,0.043778,0.091976,0.038237,8.376006,0.708713,0.474189,0.312449,0.296454,0.295958,0.317496,0.374740,0.365642,0.438149,0.430323,0.391511,0.278634,classical
0.229059,0.440700,0.045577,-47.874696,3.933919,-0.555991,0.656333,0.301916,0.665149,0.171276,0.132349,0.158104,0.277050,0.390408,0.078586,0.196999,0.025423,0.048965,0.024024,3.981329,0.701878,0.497455,0.409566,0.335064,0.399303,0.428064,0.353774,0.407184,0.498567,0.502990,0.484632,0.459772,0.194502,0.401043,0.031528,34.250487,2.851210,0.542763,0.656015,0.286092,0.572082,0.429596,0.200306,0.266843,0.497021,0.553187,0.349587,0.330562,0.043832,0.092175,0.038253,8.349337,0.658757,0.359245,0.295587,0.237002,0.290495,0.323030,0.256873,0.301503,0.369209,0.386692,0.373875,0.358608,classical
0.211454,0.428322,0.044640,-52.359696,4.868451,-0.173628,1.364906,0.143773,0.422582,-0.109487,0.061129,0.065272,0.014210,0.209482,0.167406,0.273123,0.022726,0.073861,0.024051,4.545532,1.014674,0.436098,0.373648,0.344313,0.353595,0.343467,0.376909,0.426662,0.452986,0.511394,0.433231,0.431649,0.207650,0.411986,0.030819,38.059913,3.787634,0.353937,1.041339,0.243804,0.443845,0.230965,0.269947,0.420531,0.420403,0.456610,0.373771,0.443405,0.046210,0.116760,0.038198,8.662555,1.018528,0.354052,0.290941,0.251365,0.268958,0.257817,0.294002,0.385089,0.422102,0.481517,0.393143,0.357874,classical
0.204999,0.391300,0.042544,-59.467781,6.629289,0.312919,1.406776,0.335899,0.273921,0.077369,0.236816,0.102739,0.537855,0.464241,0.372766,0.327621,0.020005,0.038146,0.026412,5.887865,1.028333,0.487420,0.418182,0.327180,0.323192,0.259306,0.334723,0.385607,0.333477,0.374632,0.284049,0.266401,0.211546,0.436361,0.029414,43.069231,4.788614,0.740327,1.059215,0.371594,0.395036,0.181565,0.472448,0.667122,0.544839,0.545523,0.411898,0.370468,0.049709,0.103105,0.038137,9.603659,1.231179,0.382096,0.374947,0.266100,0.260198,0.204385,0.299901,0.365253,0.274829,0.309089,0.218818,0.209431,classical
0.220651,0.430515,0.046289,-50.268190,5.028019,-0.779564,0.947565,0.136540,0.453300,0.024756,0.166426,0.245163,0.178812,0.211731,0.314952,0.277478,0.024163,0.046898,0.025439,4.797351,0.806445,0.523093,0.400783,0.312834,0.335016,0.346161,0.371809,0.387058,0.385488,0.376047,0.363479,0.337862,0.200139,0.408290,0.032347,36.676090,3.734695,0.850711,0.833049,0.322825,0.442613,0.291587,0.246824,0.364057,0.400881,0.306826,0.347767,0.322762,0.047095,0.094725,0.038254,7.446899,0.795402,0.408438,0.306267,0.230851,0.245298,0.256918,0.277748,0.306870,0.313483,0.297198,0.289129,0.257511,classical
0.218823,0.432766,0.047605,-51.399793,4.305368,-0.125703,1.354898,0.179539,0.345812,-0.087858,0.240593,0.333909,0.433073,0.398845,0.221822,0.245689,0.028240,0.058496,0.025334,5.546454,1.415550,0.455460,0.442162,0.347762,0.372096,0.337549,0.422481,0.452648,0.439095,0.426892,0.385659,0.332827,0.201822,0.407278,0.032988,37.343379,3.311509,0.480790,1.015652,0.238965,0.368582,0.252332,0.360642,0.547364,0.623440,0.519451,0.427903,0.366319,0.046919,0.093283,0.038030,8.080074,1.197748,0.345818,0.344664,0.266376,0.291051,0.250263,0.369301,0.422332,0.381615,0.377349,0.297821,0.255406,classical
