% Created by Marsyas
@relation countryMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.195532,0.387399,0.048595,-45.698011,4.029524,0.436088,1.160324,0.511271,0.286117,0.565910,0.214449,0.249936,0.418003,0.231338,0.257673,0.157241,0.018729,0.046881,0.024243,4.122065,0.949548,0.553363,0.626008,0.377042,0.382192,0.351723,0.349478,0.312658,0.312258,0.311182,0.277631,0.334732,0.211971,0.426606,0.034059,32.684136,2.921178,0.730055,1.047119,0.478499,0.362805,0.477618,0.317118,0.362538,0.398540,0.315444,0.402230,0.299721,0.037933,0.078805,0.032038,8.229249,0.928675,0.459721,0.496158,0.286631,0.281371,0.290889,0.256642,0.228405,0.230922,0.236677,0.204580,0.254166,country
0.204971,0.405363,0.050696,-43.955587,5.130530,-0.053451,1.611745,0.102401,0.285619,0.286326,0.055590,0.212094,0.365898,0.004231,0.348976,0.259071,0.023881,0.055240,0.027945,4.099890,0.965906,0.674038,0.659504,0.430729,0.400556,0.357034,0.380795,0.299276,0.392058,0.300735,0.292520,0.277334,0.211957,0.427529,0.035181,31.592870,3.701869,0.519704,1.204539,0.278174,0.323948,0.263901,0.235709,0.189281,0.348123,0.166003,0.281786,0.244264,0.047613,0.094694,0.038299,7.103454,0.881192,0.509572,0.555706,0.329179,0.301576,0.263196,0.276610,0.215971,0.289919,0.217224,0.207153,0.196551,country
0.243921,0.500183,0.051108,-39.350746,2.482882,-0.211278,1.109814,0.083792,0.247137,0.104392,0.275390,0.239511,0.279687,0.420278,0.288495,0.354579,0.048471,0.104874,0.030292,3.776551,0.921664,0.581665,0.632482,0.371308,0.409775,0.357435,0.343353,0.411090,0.299349,0.324822,0.281348,0.331277,0.184349,0.359423,0.035429,28.238178,1.801702,0.375964,0.863454,0.239201,0.423093,0.147648,0.299718,0.284636,0.247422,0.321381,0.229129,0.290666,0.049525,0.097693,0.038792,6.456204,0.696556,0.443429,0.463340,0.279489,0.295073,0.259305,0.250792,0.301112,0.216939,0.235734,0.199406,0.252206,country
0.198057,0.387170,0.051033,-47.673679,5.465153,0.306316,1.367744,0.303124,0.949819,0.279681,0.544608,0.173646,0.434537,0.380022,0.216539,0.423579,0.025508,0.053665,0.029377,5.553777,1.265621,0.769912,0.660432,0.543254,0.449980,0.418089,0.379251,0.341020,0.290866,0.339217,0.269264,0.290584,0.216322,0.438922,0.035483,34.229195,4.004790,0.560423,1.095589,0.503562,0.709675,0.272759,0.477089,0.272272,0.412694,0.369327,0.217930,0.340510,0.051387,0.104023,0.037960,8.430809,1.117273,0.591697,0.504791,0.421785,0.343764,0.310971,0.273312,0.257341,0.212699,0.246979,0.201247,0.219151,country
0.220577,0.455803,0.051587,-38.498601,3.350722,-0.482366,1.419401,0.363874,0.518270,0.409280,0.273485,0.245439,0.204480,0.326872,0.015371,0.190036,0.033730,0.080299,0.027797,3.364085,0.895308,0.580960,0.562943,0.414505,0.372325,0.392134,0.348852,0.328962,0.319227,0.303038,0.304578,0.302340,0.201162,0.392040,0.035807,27.737234,2.439218,0.618239,1.061812,0.348143,0.444223,0.438019,0.311432,0.308906,0.302250,0.315046,0.163932,0.278166,0.047058,0.094149,0.038439,6.172636,0.719051,0.427327,0.430712,0.304078,0.271622,0.289148,0.260624,0.247514,0.229828,0.221370,0.218426,0.222162,country
0.279593,0.630037,0.055979,-41.365697,1.220823,0.804512,1.256838,0.236748,0.335551,0.428425,0.345883,0.194506,0.387003,0.289739,0.186844,0.356333,0.057736,0.135482,0.028943,4.126932,0.725093,0.540545,0.594579,0.419460,0.373837,0.362799,0.298627,0.297502,0.316048,0.297588,0.284415,0.302930,0.159128,0.268648,0.038931,29.634198,0.953215,0.616259,0.930602,0.232952,0.294736,0.389360,0.290959,0.235537,0.319648,0.257774,0.207775,0.282421,0.047484,0.098250,0.038410,6.910533,0.523484,0.378700,0.441599,0.316475,0.279007,0.260775,0.216800,0.215708,0.234201,0.220428,0.209517,0.217503,country
0.204145,0.407016,0.049425,-45.211644,3.688242,0.313683,1.459191,0.545167,0.503155,0.483974,0.264066,0.496507,0.193657,0.393795,0.263734,0.367524,0.032070,0.075320,0.028316,4.066694,0.952037,0.560784,0.596849,0.403638,0.346639,0.383032,0.398273,0.425463,0.295531,0.313554,0.259627,0.315503,0.212413,0.425973,0.034416,32.499509,2.664645,0.673087,1.132938,0.531362,0.449152,0.455929,0.323468,0.474832,0.252902,0.377342,0.274298,0.323902,0.051942,0.102218,0.037988,7.354643,0.807466,0.433945,0.472439,0.305656,0.251704,0.292793,0.303812,0.320862,0.215970,0.230419,0.187064,0.229378,country
0.216108,0.463647,0.045837,-37.195859,2.199063,0.084718,0.864798,0.470889,0.349846,0.050841,0.439763,0.203055,0.151420,0.189386,0.095526,0.261810,0.029112,0.080977,0.025115,2.613260,0.601545,0.448345,0.445808,0.377788,0.333420,0.314727,0.367391,0.345136,0.308303,0.325651,0.347290,0.333722,0.202644,0.382569,0.031498,26.508653,1.583586,0.368465,0.702021,0.514697,0.333820,0.314364,0.545984,0.460925,0.242348,0.327049,0.317015,0.394574,0.047131,0.095161,0.038524,6.347680,0.497958,0.334796,0.358205,0.282050,0.241266,0.234409,0.264004,0.267864,0.241077,0.263070,0.271706,0.261315,country
0.221986,0.458125,0.048785,-41.954346,3.308122,-0.069196,1.447182,-0.014694,0.446862,-0.013560,0.185576,0.174833,0.179357,0.306855,0.158025,0.375948,0.034740,0.085997,0.028107,3.615056,0.677455,0.459492,0.460447,0.331416,0.383179,0.387928,0.304501,0.327255,0.319737,0.266659,0.302131,0.303546,0.200627,0.393986,0.033757,30.149985,2.468248,0.314604,1.101022,0.201599,0.403301,0.237000,0.204061,0.276527,0.239065,0.262311,0.186640,0.314565,0.046505,0.096626,0.038311,6.757058,0.575313,0.351430,0.360274,0.250244,0.290815,0.285724,0.224691,0.242187,0.232765,0.200271,0.230198,0.220425,country
0.224432,0.464175,0.055506,-41.603838,2.773973,0.381542,1.239854,0.006409,0.579040,0.493692,0.358644,0.278204,0.289612,0.370211,0.194103,0.252584,0.032108,0.087616,0.030549,4.388639,0.820115,0.700193,0.647212,0.414504,0.354883,0.330715,0.337921,0.322793,0.288368,0.287783,0.266358,0.259107,0.197721,0.385738,0.038554,29.740177,2.022637,0.478362,1.004119,0.322963,0.459513,0.400180,0.335209,0.264484,0.231079,0.284079,0.220431,0.214781,0.045934,0.092459,0.038468,7.271974,0.619021,0.517210,0.533749,0.310876,0.262622,0.251294,0.247027,0.235431,0.209967,0.206717,0.196124,0.185479,country
0.210587,0.432327,0.056028,-41.897899,3.068499,0.500249,1.552485,0.435868,0.494932,0.164928,0.321117,0.356995,0.267140,0.361688,0.139952,0.207443,0.030006,0.080306,0.029658,4.216665,1.010670,0.692170,0.723243,0.521868,0.425042,0.434139,0.433966,0.360423,0.399340,0.360103,0.333065,0.317029,0.207196,0.406232,0.039190,30.129008,2.240472,0.503077,1.150819,0.403555,0.425130,0.227266,0.311465,0.331698,0.231673,0.357893,0.205048,0.216000,0.048741,0.097725,0.038187,6.984572,0.811012,0.508609,0.543790,0.412837,0.298202,0.310094,0.324710,0.259899,0.293619,0.264177,0.250763,0.251420,country
0.192069,0.381805,0.048284,-48.910465,4.287010,0.848152,1.114548,0.186869,0.812961,0.484596,0.125729,0.483610,0.312599,0.503775,0.346138,0.272920,0.023482,0.051270,0.027094,4.689905,0.883386,0.592059,0.582572,0.431516,0.325170,0.424114,0.393869,0.410987,0.336003,0.296080,0.240596,0.263655,0.220658,0.442902,0.033542,35.131262,3.149756,0.793050,0.966994,0.449630,0.634329,0.513086,0.275630,0.539952,0.332843,0.423653,0.292675,0.323011,0.052497,0.106154,0.037983,8.162756,0.787992,0.450879,0.483893,0.343395,0.240788,0.340309,0.292867,0.320329,0.248051,0.214029,0.172008,0.194571,country
0.202570,0.406998,0.051716,-45.320669,5.035735,0.001921,1.284344,0.285531,0.622051,0.417948,0.220554,0.202615,0.154831,0.264565,0.015278,0.175841,0.028570,0.065788,0.030831,4.494075,1.341076,0.670703,0.672237,0.554964,0.415958,0.430011,0.369042,0.345191,0.396452,0.374364,0.357570,0.296083,0.213300,0.425352,0.035978,32.551046,3.638273,0.511571,1.038855,0.530978,0.502305,0.544033,0.363148,0.262040,0.220560,0.369619,0.174182,0.239664,0.049799,0.100981,0.037958,7.263431,1.080298,0.511922,0.509680,0.436553,0.308181,0.332174,0.295951,0.261854,0.287304,0.282061,0.262019,0.220816,country
0.221693,0.446723,0.050714,-41.758206,3.405550,0.746025,1.094814,0.179777,0.180207,0.433624,0.473266,0.294091,0.079079,0.204986,0.396607,0.195719,0.033588,0.078463,0.027736,3.609957,0.945499,0.581987,0.467665,0.356896,0.344481,0.319444,0.338767,0.328582,0.266797,0.274906,0.264171,0.235009,0.201009,0.400683,0.035255,30.024262,2.542091,0.729252,0.854644,0.282270,0.264567,0.386117,0.464775,0.259742,0.179904,0.211531,0.361881,0.154605,0.050835,0.103211,0.038223,6.946318,0.920378,0.460843,0.348952,0.279940,0.257237,0.237399,0.251930,0.241616,0.197621,0.196671,0.188673,0.168629,country
