% Created by Marsyas
@relation discoMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.252885,0.534978,0.055501,-40.755375,2.011748,0.170433,0.719302,0.398717,0.328459,0.360719,0.208566,0.205709,0.246876,0.420884,0.262306,0.308186,0.043349,0.107561,0.024877,4.476027,0.741996,0.479109,0.565389,0.390451,0.305943,0.315322,0.262103,0.293309,0.264476,0.248814,0.228796,0.240070,0.176174,0.330809,0.039052,29.357185,1.502479,0.273696,0.599254,0.379743,0.254043,0.308702,0.193709,0.241886,0.230735,0.326422,0.209289,0.227845,0.046767,0.083696,0.030542,6.677644,0.572299,0.349796,0.411880,0.285717,0.222409,0.225169,0.188137,0.211639,0.190477,0.174223,0.162120,0.171089, disco
0.244267,0.540411,0.052844,-39.942616,2.419602,0.595468,0.869927,0.611694,0.285001,0.404530,-0.010900,0.476323,0.353303,0.145931,0.252252,0.217425,0.057697,0.173470,0.027040,3.773005,0.740474,0.491551,0.562523,0.402808,0.374440,0.327142,0.378952,0.317395,0.345730,0.286258,0.285135,0.259741,0.183682,0.332186,0.036647,28.619822,1.759860,0.442642,0.665974,0.469032,0.259178,0.322734,0.155693,0.380813,0.290450,0.140919,0.210721,0.172871,0.052046,0.126021,0.038357,6.642241,0.555591,0.358120,0.413220,0.298328,0.267339,0.236490,0.280098,0.226783,0.249056,0.209843,0.201531,0.182787, disco
0.227279,0.463655,0.060302,-41.054403,3.247941,-1.072244,1.017075,0.504544,0.425657,0.201070,0.425497,0.496465,0.318770,0.361953,0.230042,0.327482,0.036944,0.105339,0.040022,5.132779,1.027403,0.628971,0.602373,0.427906,0.388288,0.317281,0.287269,0.266092,0.254940,0.267035,0.241330,0.239836,0.196516,0.386926,0.042714,29.665092,2.484136,0.843458,0.883430,0.590534,0.399247,0.266090,0.319635,0.375799,0.263372,0.282763,0.192107,0.251899,0.045971,0.098247,0.041442,6.930633,0.841957,0.480731,0.459464,0.313048,0.300858,0.235601,0.199363,0.188449,0.183942,0.195942,0.173494,0.170435, disco
0.225182,0.465791,0.058590,-40.782974,3.023240,0.329218,0.933472,0.229504,0.514258,0.261670,0.553136,0.211914,0.137334,0.104769,0.318151,0.393609,0.039146,0.094705,0.032645,4.063641,1.181831,0.655426,0.631612,0.440205,0.310540,0.331851,0.345213,0.311870,0.313410,0.311703,0.288973,0.316184,0.196692,0.382330,0.040959,29.092347,2.180825,0.538711,0.786551,0.342231,0.380726,0.258010,0.452070,0.249755,0.219752,0.157594,0.248712,0.319020,0.049594,0.099382,0.038551,7.363628,0.984669,0.479304,0.475214,0.335800,0.218064,0.243882,0.263320,0.228190,0.233312,0.228349,0.203604,0.231396, disco
0.225502,0.472918,0.060967,-40.934983,2.858315,0.756738,0.904165,0.352417,0.469330,0.156769,0.023947,0.184892,0.411987,0.426107,0.171048,0.365824,0.042357,0.118445,0.029757,4.263100,0.881930,0.609890,0.626171,0.414833,0.390030,0.346165,0.322993,0.329564,0.290606,0.324854,0.298333,0.299674,0.196893,0.377803,0.042740,29.402640,2.066197,0.623097,0.697332,0.309538,0.363652,0.160933,0.155115,0.177046,0.301374,0.325772,0.175034,0.285749,0.049003,0.102567,0.038120,6.706013,0.664257,0.429199,0.454575,0.298592,0.286496,0.251588,0.233459,0.241056,0.206277,0.235946,0.212306,0.212767, disco
0.268321,0.591901,0.049481,-38.670088,1.788607,0.085386,0.767252,0.630201,0.403173,0.473316,0.266455,0.248773,0.474387,0.228841,0.290348,0.230174,0.061362,0.150333,0.026581,3.783001,0.647502,0.424133,0.465409,0.356066,0.320103,0.305926,0.294440,0.276379,0.325485,0.258125,0.261018,0.254750,0.168139,0.297622,0.034293,27.763884,1.337077,0.225905,0.597816,0.508071,0.356160,0.372180,0.246170,0.224781,0.445366,0.208690,0.245003,0.192534,0.048908,0.107362,0.038563,6.234851,0.477079,0.318769,0.336171,0.254389,0.233593,0.220440,0.210376,0.198218,0.245871,0.186493,0.183860,0.185533, disco
0.234827,0.495148,0.067565,-44.229086,1.840102,0.274086,1.370632,0.227708,0.465632,0.350562,0.730019,0.456524,0.397092,0.447258,0.127265,0.145656,0.049373,0.120441,0.035512,5.679306,1.027655,0.797517,0.704992,0.550772,0.467428,0.445630,0.366065,0.384561,0.323706,0.369434,0.352689,0.370709,0.192265,0.366160,0.047527,31.759859,1.475797,0.401104,1.033608,0.361496,0.421042,0.370362,0.563253,0.383570,0.326760,0.375740,0.215851,0.209524,0.048534,0.100468,0.038446,7.557671,0.756815,0.574975,0.506489,0.411151,0.350895,0.320405,0.274307,0.281215,0.236545,0.278073,0.279912,0.321886, disco
0.243899,0.531626,0.052537,-37.807032,1.930830,0.322624,0.805828,0.044429,0.473099,0.245798,0.375911,0.426642,0.186764,0.353775,0.238480,0.370541,0.044264,0.106824,0.027890,3.154739,0.761134,0.484495,0.406062,0.323034,0.331916,0.294196,0.277608,0.288302,0.280170,0.270924,0.250795,0.253610,0.183575,0.335574,0.036534,27.126180,1.397490,0.320901,0.600653,0.106372,0.383002,0.268287,0.289895,0.348335,0.226442,0.291498,0.199060,0.322107,0.046613,0.096373,0.038443,6.430460,0.585913,0.369616,0.292740,0.235426,0.240674,0.206425,0.199518,0.212166,0.201984,0.191140,0.179531,0.182029, disco
0.215717,0.436702,0.054254,-38.935726,3.985415,0.641598,0.618203,-0.021098,0.520085,0.495200,-0.039457,0.369502,0.191975,0.240925,0.218240,0.068579,0.032272,0.090887,0.033071,3.783335,1.078048,0.555074,0.523038,0.435014,0.429297,0.358642,0.322702,0.316878,0.288118,0.289649,0.272249,0.245803,0.203971,0.404332,0.037993,27.948072,2.929119,0.702968,0.743471,0.217105,0.504076,0.449467,0.202519,0.295338,0.234020,0.207497,0.190548,0.107270,0.046984,0.101285,0.038817,6.336738,0.909778,0.415536,0.393701,0.326997,0.306511,0.268943,0.232578,0.225137,0.212745,0.206552,0.198123,0.179149, disco
0.231189,0.468226,0.058520,-39.822347,3.377157,-0.403430,0.840780,0.215768,0.394968,0.353087,0.216997,0.396297,0.416762,0.250568,0.286796,0.241083,0.034220,0.089313,0.030930,4.800429,1.082756,0.604045,0.636789,0.454396,0.416763,0.340557,0.326902,0.346650,0.286420,0.288991,0.283304,0.266229,0.192996,0.382290,0.041345,28.533331,2.471661,0.454800,0.771200,0.375221,0.370842,0.326068,0.226141,0.321150,0.343408,0.245889,0.258008,0.218817,0.043814,0.094088,0.038283,6.662832,0.818098,0.455686,0.487192,0.333413,0.300620,0.252876,0.235883,0.243141,0.210019,0.214090,0.204592,0.191198, disco
