% Created by Marsyas
@relation hiphopMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.205409,0.422989,0.062061,-45.703127,1.364144,0.805591,0.921243,0.147314,0.691923,0.621361,0.413803,0.354643,0.346261,0.246122,0.396793,0.357329,0.051862,0.129503,0.029786,4.886580,0.694057,0.674866,0.377049,0.337179,0.286513,0.333794,0.282710,0.232610,0.285716,0.226544,0.236963,0.201477,0.205608,0.403288,0.043501,32.739620,0.994184,0.651893,0.693866,0.149990,0.501692,0.454652,0.306221,0.264005,0.253006,0.187196,0.288982,0.257337,0.044962,0.100051,0.031167,7.570441,0.483636,0.469622,0.272593,0.239054,0.206743,0.232804,0.201096,0.162992,0.197684,0.157829,0.165356,0.141973,hiphop
0.223696,0.453010,0.050270,-41.903543,2.076611,1.526282,1.274325,0.604126,0.579957,0.515300,0.079194,0.305440,0.275419,0.434471,0.606459,0.159624,0.071334,0.177849,0.027079,4.752846,1.296724,0.643043,0.669149,0.417767,0.378919,0.383891,0.351990,0.330778,0.331886,0.388797,0.348898,0.267886,0.200960,0.396705,0.034983,29.918097,1.518636,1.089914,0.934719,0.465879,0.422432,0.388765,0.137522,0.234715,0.224275,0.329756,0.456086,0.133412,0.067005,0.134961,0.038358,7.405741,0.957790,0.502536,0.479147,0.307481,0.273557,0.273134,0.252166,0.235423,0.238824,0.278139,0.248669,0.189728,hiphop
0.235311,0.490624,0.050105,-42.155613,1.691912,0.585053,1.011233,0.491313,0.435398,0.139890,0.217098,0.119119,0.174829,0.294559,0.295759,0.216248,0.052381,0.125337,0.025138,4.211013,0.705030,0.596718,0.593271,0.445369,0.345613,0.356576,0.333270,0.307234,0.299079,0.303231,0.272993,0.277846,0.190253,0.366573,0.034644,30.232137,1.232716,0.459967,0.753638,0.412973,0.341704,0.154093,0.174104,0.116613,0.173852,0.234057,0.220225,0.187851,0.047595,0.099980,0.038260,6.833001,0.505564,0.424743,0.420895,0.321726,0.249933,0.256142,0.237404,0.219706,0.216943,0.215584,0.194625,0.199861,hiphop
0.226430,0.472583,0.051266,-38.516086,1.971994,0.239685,0.758609,0.264116,0.650035,0.373554,0.292571,0.363385,0.481561,0.135000,0.159292,0.081138,0.049568,0.120819,0.027822,4.299593,0.865512,0.847568,0.631545,0.458244,0.415945,0.319267,0.308381,0.334571,0.329745,0.306328,0.345201,0.348085,0.197633,0.380753,0.035510,27.591110,1.490797,0.346858,0.633960,0.278849,0.494119,0.320966,0.253173,0.299552,0.369990,0.193382,0.189327,0.170454,0.045246,0.095895,0.038197,6.369163,0.616478,0.622300,0.460229,0.334679,0.300133,0.232267,0.227425,0.240832,0.236649,0.219474,0.249498,0.256019,hiphop
0.227604,0.483542,0.058686,-41.370853,1.899413,0.581779,0.861864,0.309166,0.535133,0.377167,0.380873,0.342600,0.254866,0.279769,0.264644,0.166848,0.057576,0.156510,0.032060,4.579385,1.178438,0.831114,0.601698,0.440516,0.381666,0.338984,0.287318,0.278920,0.279921,0.256777,0.266633,0.251711,0.193380,0.367150,0.040492,29.205958,1.379820,0.514930,0.670212,0.258277,0.407005,0.306427,0.302233,0.277805,0.220991,0.249672,0.279556,0.191431,0.051902,0.117722,0.038003,6.623709,0.807568,0.578387,0.428207,0.314489,0.272899,0.239438,0.203732,0.195921,0.193713,0.184894,0.195667,0.181480,hiphop
0.210800,0.423515,0.053663,-44.028619,2.931553,-0.070459,1.413801,0.367508,0.651326,0.396238,0.605607,0.452123,0.577919,0.490529,0.116270,0.263466,0.044279,0.095889,0.030226,4.602759,0.895997,0.786138,0.632120,0.495918,0.434345,0.391616,0.286490,0.287645,0.289241,0.272195,0.279487,0.305173,0.207058,0.412595,0.037306,31.524679,2.191973,0.469007,1.070359,0.326314,0.505284,0.303720,0.451754,0.360385,0.459030,0.365429,0.170033,0.260585,0.050253,0.101565,0.038127,7.417826,0.651504,0.567107,0.500506,0.375463,0.324183,0.290217,0.201936,0.216305,0.209248,0.199343,0.204389,0.222735,hiphop
0.220923,0.459025,0.055235,-43.118572,1.108511,0.421714,1.206573,0.466561,0.399565,0.444971,0.491178,0.397215,0.346717,0.401820,0.442000,0.324675,0.051891,0.120331,0.028000,4.378105,0.800645,0.626108,0.634741,0.449776,0.397237,0.364412,0.395987,0.305269,0.300296,0.306126,0.288238,0.298633,0.200102,0.387826,0.038363,30.936287,0.905367,0.380972,0.899296,0.367788,0.357728,0.355107,0.373512,0.303752,0.262978,0.304387,0.333210,0.245538,0.049269,0.102101,0.038146,6.989573,0.579655,0.442960,0.454901,0.348259,0.288574,0.263216,0.279488,0.218580,0.221603,0.229486,0.222044,0.215340,hiphop
0.234687,0.468772,0.067775,-44.547133,2.493248,0.380285,0.968429,0.609914,0.727571,0.518572,0.329454,0.188511,0.349288,0.209356,0.387635,0.159535,0.079009,0.156709,0.039119,6.935026,1.712874,1.364737,0.997783,0.594982,0.455223,0.453399,0.387449,0.382765,0.379793,0.347861,0.315592,0.283223,0.192805,0.385462,0.047195,31.906494,1.858331,0.506272,0.768118,0.476683,0.539822,0.397548,0.266266,0.168931,0.292407,0.170821,0.291919,0.129443,0.063691,0.121033,0.040370,7.575002,1.211835,0.967243,0.728157,0.421407,0.320785,0.327401,0.284324,0.274193,0.271653,0.248633,0.220469,0.203338,hiphop
0.225627,0.450899,0.057251,-41.933948,3.861923,-0.547447,1.172502,0.006735,0.290498,0.435575,0.470714,0.251077,0.344365,0.247906,0.344481,0.528729,0.032329,0.077922,0.032364,4.220459,1.064625,0.830405,0.826888,0.482443,0.403736,0.354213,0.379419,0.302306,0.311638,0.358976,0.278721,0.300192,0.196787,0.394977,0.040198,30.230699,3.489158,1.572425,0.957607,0.517699,0.318117,0.404010,0.416839,0.242891,0.264189,0.231092,0.272926,0.463642,0.046628,0.094653,0.038197,6.590189,0.759885,0.613597,0.679006,0.367988,0.290812,0.262398,0.274150,0.214896,0.223200,0.281688,0.198866,0.223076,hiphop
0.199912,0.404540,0.057549,-44.440485,1.949592,0.128343,1.501909,0.119318,0.811965,0.289083,0.506114,0.465448,0.500765,0.428842,0.402779,0.265378,0.035488,0.090976,0.032747,5.834034,0.845430,0.926291,0.745803,0.510230,0.392120,0.421734,0.366459,0.337032,0.308739,0.301404,0.310605,0.292003,0.215366,0.427469,0.040060,31.867444,1.406224,0.360149,1.131854,0.183270,0.588868,0.249430,0.380951,0.347647,0.368088,0.319852,0.313055,0.201379,0.050656,0.101644,0.038467,7.276241,0.603745,0.666892,0.548900,0.381799,0.282684,0.298960,0.265026,0.240039,0.220750,0.222607,0.228120,0.210751,hiphop
