% Created by Marsyas
@relation newmetalMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.056815,0.142883,0.080974,-53.545994,2.621028,0.128877,2.118403,-0.009243,0.601486,0.605101,0.603589,0.339969,0.665909,0.420640,0.459757,0.296503,0.030981,0.069641,0.049729,3.506807,0.716939,0.655322,0.694332,0.589180,0.509449,0.482538,0.469766,0.454277,0.433766,0.412200,0.406208,0.380720,0.025026,0.041347,0.009289,5.366422,0.476370,0.296589,0.741119,0.256111,0.283297,0.193071,0.244345,0.171935,0.178007,0.142779,0.117256,0.141027,0.037198,0.068758,0.034357,9.054955,0.280693,0.191017,0.277214,0.184910,0.146303,0.096799,0.096297,0.130307,0.106501,0.095973,0.066614,0.068205,newmetal
0.060943,0.159368,0.080309,-54.905904,1.820411,0.366540,1.500295,-0.001292,0.872651,0.076028,0.606197,0.566176,0.638711,0.599934,0.589098,0.213100,0.028338,0.073242,0.044291,2.269393,0.718266,0.676834,0.650616,0.565656,0.454718,0.480873,0.446875,0.426595,0.425183,0.400359,0.396850,0.395210,0.016459,0.033381,0.013078,1.614324,0.404852,1.135744,0.582009,0.441996,0.180315,0.373521,0.204675,0.206830,0.150801,0.135951,0.117974,0.124971,0.012861,0.035962,0.032945,2.533895,0.221900,0.334763,0.273928,0.212520,0.088089,0.150813,0.088991,0.085356,0.076803,0.064087,0.064642,0.050428,newmetal
0.160463,0.341893,0.078410,-69.731987,1.792112,0.031471,0.058090,0.812001,0.681398,0.071612,0.627447,0.913433,1.015747,0.519731,0.320569,0.184843,0.111171,0.221364,0.037652,7.315655,1.160661,1.267123,0.756156,0.678799,0.657172,0.589703,0.731711,0.635833,0.499421,0.515795,0.506121,0.604176,0.081309,0.165682,0.007471,6.185725,1.572906,1.283964,0.676455,0.485007,0.419193,0.288717,0.573764,0.457910,0.281555,0.198351,0.246671,0.338391,0.059823,0.066997,0.034285,7.066712,0.291847,0.358532,0.228685,0.189115,0.116552,0.109862,0.186777,0.142619,0.084953,0.110851,0.094778,0.153171,newmetal
0.056547,0.149037,0.081817,-64.263754,4.347322,0.956871,0.240006,0.506603,0.808662,0.485329,0.397048,0.232505,0.687256,0.705841,0.553391,0.478167,0.041524,0.124410,0.045598,5.399312,1.402794,0.961328,0.751481,0.681417,0.606649,0.595689,0.604018,0.503751,0.530811,0.514110,0.456982,0.439046,0.032281,0.104056,0.009947,10.708072,1.999693,0.540807,0.675119,0.473210,0.346567,0.392147,0.387672,0.274940,0.300940,0.224091,0.206729,0.240288,0.030285,0.096578,0.032073,5.086094,0.364924,0.285155,0.219565,0.234253,0.121853,0.146204,0.170799,0.117827,0.200116,0.157162,0.085796,0.095594,newmetal
0.062516,0.148141,0.077534,-59.860049,3.414812,-0.660829,0.858702,0.045506,0.841812,-0.077609,0.809511,0.457048,0.415775,0.735884,0.193606,0.301415,0.031947,0.079586,0.041347,3.918934,1.050269,0.907284,0.696140,0.709263,0.730084,0.625527,0.473916,0.514679,0.498578,0.506313,0.434589,0.424000,0.041610,0.086784,0.010419,7.847799,1.927300,1.576496,0.792416,1.189639,0.368279,0.674908,0.243069,0.264226,0.175426,0.380800,0.159868,0.154643,0.033759,0.063290,0.033451,5.002022,0.480966,0.346351,0.151207,0.172910,0.385227,0.197175,0.089889,0.135950,0.136573,0.212838,0.100310,0.061657,newmetal
0.067732,0.135117,0.079973,-63.152541,1.785052,-0.847502,0.945197,0.218768,0.658003,1.222567,1.028241,-0.183624,0.752076,0.981716,1.006472,0.385989,0.027233,0.069610,0.037866,3.768148,1.047744,1.078654,0.837827,0.985120,1.105362,0.885727,0.659013,0.699133,0.712095,0.642757,0.633346,0.480312,0.017877,0.033117,0.011629,3.585817,0.571467,1.099259,0.647014,0.500704,1.232318,0.503563,0.383708,0.295971,0.337886,0.244058,0.438467,0.130388,0.020148,0.044158,0.034285,5.134969,0.265797,0.273313,0.199194,0.368243,0.453270,0.282173,0.180892,0.165859,0.175640,0.129864,0.114342,0.113667,newmetal
0.018936,0.039779,0.083367,-72.299987,6.465100,-0.639141,2.105319,1.111277,1.319296,1.666429,0.709523,0.313980,0.798592,0.466576,0.901221,0.613900,0.015428,0.039649,0.056817,3.665986,1.610969,1.160154,1.637045,1.013755,0.893974,0.773829,0.791856,0.676979,0.646045,0.592931,0.481984,0.470251,0.012594,0.031058,0.018207,9.131815,1.851789,0.859481,0.860943,0.701041,0.529339,0.395844,0.547200,0.399670,0.364349,0.251693,0.390379,0.383128,0.025317,0.052722,0.035118,6.388308,0.626142,0.340591,0.395287,0.302024,0.252508,0.226272,0.208358,0.155771,0.137940,0.128464,0.086866,0.128976,newmetal
0.062005,0.164239,0.077495,-55.234527,1.773375,0.991163,2.022682,0.697900,0.422815,0.857051,0.474690,0.352044,0.740577,0.474528,0.381066,0.435915,0.038148,0.100631,0.038378,4.649376,1.251786,0.738163,0.839724,0.694043,0.593942,0.589634,0.523848,0.518721,0.496970,0.459335,0.519316,0.442382,0.012952,0.032989,0.011592,6.987771,0.854647,0.547848,0.482910,0.355563,0.237555,0.228370,0.217827,0.263415,0.243596,0.180993,0.280017,0.249443,0.027211,0.054388,0.035576,6.384006,0.515472,0.371444,0.314242,0.296749,0.163101,0.164714,0.139135,0.137813,0.159394,0.105004,0.128962,0.106923,newmetal
0.037669,0.096362,0.080694,-61.671320,3.644115,0.701599,2.927797,0.549676,1.450611,0.471227,1.428223,0.208965,0.954561,0.297475,0.139958,0.210111,0.033086,0.103974,0.046225,4.879499,1.093973,0.498995,0.626056,0.460153,0.435416,0.437606,0.404099,0.391988,0.395974,0.389059,0.381468,0.370579,0.026762,0.063726,0.014056,8.260121,0.833412,0.353542,0.750130,0.233668,0.270991,0.232434,0.389011,0.261767,0.159063,0.130924,0.145950,0.094310,0.041316,0.079124,0.034054,5.705355,0.496415,0.145790,0.221359,0.102740,0.094087,0.071293,0.095814,0.063014,0.065511,0.052515,0.058004,0.057885,newmetal
0.011303,0.055182,0.092408,-80.444342,7.971296,1.006990,2.387708,0.674032,0.433303,0.712118,0.962422,0.430373,0.112696,0.361614,0.542643,0.701213,0.006086,0.075877,0.062390,2.072123,0.598060,0.582938,0.528992,0.459830,0.472263,0.466745,0.472522,0.461888,0.426727,0.411224,0.413834,0.402570,0.009158,0.093867,0.017107,7.661947,1.372014,0.853361,0.619200,0.542568,0.596862,0.513210,0.635251,0.432512,0.507394,0.452758,0.626427,0.542429,0.016548,0.140608,0.035189,4.503400,0.273571,0.134827,0.094683,0.086288,0.091322,0.081922,0.086243,0.079283,0.070342,0.068533,0.073248,0.067155,newmetal
