% Created by Marsyas
@relation popMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.223829,0.471044,0.051831,-41.897078,2.331402,0.886083,1.265096,0.407440,0.675673,0.331066,0.689758,0.197587,0.280188,0.277984,0.121045,0.012071,0.063407,0.167029,0.025420,4.157832,0.829461,0.622938,0.542876,0.436748,0.349284,0.370700,0.342676,0.321429,0.322899,0.270965,0.313938,0.347280,0.195542,0.379493,0.036515,30.197613,1.725226,0.732974,0.951597,0.450872,0.535670,0.376726,0.543426,0.260141,0.254374,0.250978,0.296911,0.349550,0.062756,0.139494,0.031212,6.914171,0.652326,0.476410,0.416252,0.333171,0.257016,0.267485,0.256362,0.237240,0.239180,0.201298,0.238732,0.264134,pop
0.267444,0.582400,0.052706,-38.417850,2.327518,0.939872,0.680129,0.233571,0.620000,0.078701,0.393306,0.426199,0.320900,0.473268,0.213757,0.261417,0.079764,0.212666,0.028693,4.220635,0.856436,0.664119,0.702402,0.487471,0.454217,0.398781,0.377242,0.383656,0.332146,0.331753,0.316254,0.340573,0.169527,0.305757,0.036688,27.797230,1.711916,1.109304,0.677710,0.421690,0.549258,0.198910,0.382940,0.400013,0.312650,0.379404,0.278380,0.345052,0.065744,0.150523,0.038160,6.179625,0.678312,0.504930,0.566769,0.373311,0.343221,0.294109,0.280792,0.295432,0.243318,0.237378,0.232873,0.257115,pop
0.243847,0.530324,0.055345,-38.445450,1.991811,0.377815,0.563216,0.334027,0.323044,0.152387,0.498146,0.150024,0.175639,0.442168,0.360087,0.189693,0.060340,0.161670,0.029185,3.961850,0.799659,0.596606,0.506679,0.428396,0.432687,0.389298,0.379863,0.322460,0.330267,0.310264,0.287817,0.266998,0.184333,0.339484,0.038597,27.566638,1.516136,0.703076,0.507115,0.404328,0.320699,0.283765,0.393692,0.181301,0.230817,0.360809,0.274039,0.168820,0.056400,0.123267,0.038231,6.751978,0.612642,0.430098,0.371645,0.314015,0.318852,0.279662,0.273867,0.229642,0.239545,0.227130,0.204067,0.192150,pop
0.216072,0.447425,0.053223,-38.432792,2.453350,0.259100,1.140514,0.288197,0.386838,0.265213,0.389655,0.172329,0.267511,0.212724,0.211401,0.268742,0.041358,0.102215,0.028770,4.155569,0.866761,0.486135,0.399686,0.350362,0.300133,0.321055,0.282765,0.279054,0.237669,0.236437,0.224420,0.210872,0.204121,0.397303,0.037053,27.636390,1.766697,0.300017,0.841399,0.250429,0.320638,0.216477,0.299386,0.178325,0.201228,0.163695,0.168410,0.200192,0.047194,0.096185,0.038159,6.219999,0.640536,0.360000,0.291742,0.250245,0.219203,0.237634,0.200731,0.205551,0.168928,0.168950,0.163959,0.151881,pop
0.248656,0.508546,0.059816,-44.133057,2.382898,1.049221,0.873129,0.434911,0.705250,0.282431,0.373954,0.541832,0.185550,0.385910,0.179317,0.348195,0.103303,0.214771,0.037009,5.668785,1.019712,0.830755,0.767819,0.559198,0.524008,0.434149,0.347595,0.360934,0.282044,0.299919,0.298962,0.322159,0.183720,0.357653,0.042007,31.808259,1.731760,0.938200,0.722005,0.431393,0.542729,0.310564,0.321320,0.412145,0.171742,0.306586,0.165438,0.281230,0.083113,0.152754,0.039214,6.959184,0.735448,0.608616,0.553555,0.416572,0.380476,0.320423,0.262489,0.260574,0.199815,0.223974,0.228749,0.240332,pop
0.255718,0.538567,0.059431,-38.425391,2.094198,0.361185,0.906364,0.207455,0.655650,0.214451,0.456801,0.486633,0.215133,0.239248,0.318049,0.164564,0.079860,0.170374,0.030930,4.699137,1.030842,0.898984,0.718405,0.573308,0.438713,0.385912,0.379831,0.372885,0.330074,0.333426,0.337357,0.327921,0.177216,0.335449,0.041576,27.569500,1.561862,0.365148,0.679570,0.240138,0.482120,0.202461,0.337633,0.363821,0.182595,0.249035,0.265936,0.190284,0.066532,0.123364,0.038585,6.466242,0.757018,0.653520,0.525977,0.425687,0.308329,0.282518,0.270074,0.260986,0.243061,0.250548,0.254006,0.242695,pop
0.247994,0.539614,0.058642,-40.676014,2.108736,1.011295,0.844040,0.301971,0.247945,0.391351,0.467947,0.464513,0.253319,0.285650,0.191774,0.130967,0.082463,0.214571,0.030954,5.329708,1.309725,0.806163,0.723786,0.638458,0.558728,0.498874,0.456618,0.432826,0.394046,0.430490,0.476815,0.493151,0.180866,0.331060,0.040988,29.225339,1.530349,0.819861,0.661185,0.392186,0.306454,0.349839,0.348006,0.366178,0.212788,0.256845,0.248579,0.270715,0.065018,0.151218,0.038474,6.940796,0.961716,0.577867,0.528898,0.479953,0.414514,0.360047,0.322361,0.310813,0.279805,0.309304,0.357220,0.374457,pop
0.246577,0.518327,0.054489,-39.285610,2.445665,0.893943,0.958456,0.545688,0.486546,0.382088,0.443570,0.430057,0.510993,0.337363,0.260459,0.118049,0.073376,0.178129,0.030710,3.588531,1.019514,0.640161,0.584282,0.428804,0.346435,0.380872,0.370047,0.278458,0.322714,0.273937,0.298771,0.274932,0.182551,0.347384,0.038041,28.248472,1.770757,0.721998,0.749078,0.407308,0.376591,0.339571,0.381447,0.327264,0.403308,0.282698,0.234917,0.151342,0.063479,0.129342,0.038218,6.459631,0.753526,0.467213,0.435161,0.315970,0.253350,0.285789,0.279715,0.197484,0.233571,0.201554,0.213846,0.208443,pop
0.219480,0.460665,0.057451,-39.526845,2.012016,0.602710,0.860378,0.327671,0.592180,0.409997,0.220947,0.431001,0.306778,0.220802,0.292622,0.255878,0.054519,0.135396,0.031521,3.790178,1.031311,0.717293,0.632139,0.508017,0.415312,0.368378,0.366496,0.361907,0.303935,0.294172,0.346686,0.302323,0.202127,0.389804,0.040148,28.517004,1.514082,0.597982,0.747044,0.380440,0.504941,0.330509,0.269118,0.359683,0.241549,0.207708,0.291334,0.250319,0.052387,0.111460,0.038214,6.136569,0.741070,0.536448,0.469865,0.378794,0.302899,0.262326,0.263845,0.266155,0.219067,0.211492,0.258542,0.218397,pop
0.230063,0.487195,0.058995,-39.274439,2.805559,0.511623,0.584740,0.375028,0.401257,0.326337,0.456324,0.317780,0.400235,0.341927,0.237377,0.221640,0.047034,0.147522,0.032868,4.237790,0.864683,0.580855,0.519641,0.401131,0.358817,0.311241,0.324088,0.316572,0.341292,0.317954,0.292710,0.289619,0.194100,0.369920,0.041632,28.289366,2.051101,0.560495,0.515614,0.354042,0.343565,0.280219,0.371982,0.285073,0.410602,0.347131,0.249520,0.241257,0.047255,0.115441,0.038560,6.348411,0.636659,0.435762,0.390636,0.300443,0.265246,0.222122,0.232823,0.230833,0.253885,0.229155,0.210786,0.212853,pop
