% Created by Marsyas
@relation reggaeMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.221207,0.435114,0.052268,-50.649569,3.194340,0.447614,1.373665,0.336670,0.719897,0.272822,0.223461,-0.028478,0.275569,0.289431,0.362893,0.329712,0.050435,0.095263,0.026846,6.923437,1.372956,0.877575,0.751126,0.608138,0.519207,0.494169,0.485703,0.356352,0.437147,0.389398,0.348265,0.326518,0.196637,0.397212,0.036467,36.742957,2.614817,0.647419,1.214515,0.499880,0.609203,0.362957,0.383568,0.208888,0.296601,0.313117,0.308609,0.303540,0.056546,0.092003,0.031564,8.523659,1.044452,0.657742,0.585057,0.459769,0.383593,0.369390,0.372599,0.263617,0.322592,0.282393,0.257575,0.241148,reggae
0.203242,0.408136,0.071010,-48.116531,3.245952,0.478158,0.932261,0.396255,0.694045,0.453525,0.528446,0.397641,0.514091,0.366013,0.435203,0.341205,0.040156,0.098916,0.043575,5.984115,0.960318,0.682253,0.540954,0.439009,0.427307,0.384355,0.310949,0.258823,0.250675,0.254492,0.246235,0.244334,0.212583,0.423955,0.049607,34.554549,2.384800,0.632031,0.704266,0.362990,0.524113,0.373587,0.404091,0.299225,0.381621,0.277801,0.318400,0.262500,0.051401,0.104553,0.040812,7.816307,0.733104,0.489688,0.387161,0.321655,0.307955,0.280096,0.222820,0.183959,0.179359,0.182789,0.179317,0.173245,reggae
0.221442,0.450741,0.050341,-42.405238,3.109178,0.679127,1.369785,0.113101,0.775285,0.291037,0.566242,0.003124,0.143782,0.285019,0.095615,0.065586,0.033096,0.090341,0.024365,4.401568,0.676613,0.626822,0.695577,0.479941,0.472625,0.337922,0.343682,0.361694,0.326153,0.321709,0.336137,0.316084,0.200463,0.396427,0.034994,30.617285,2.275294,0.724718,1.087698,0.448110,0.696297,0.292138,0.483957,0.344891,0.263939,0.280334,0.298414,0.290724,0.046705,0.095898,0.038065,6.865351,0.569625,0.474455,0.528528,0.380278,0.362971,0.259891,0.258613,0.290509,0.251856,0.231202,0.252304,0.241420,reggae
0.202356,0.410803,0.053026,-44.135955,2.816049,0.433494,1.495958,0.408740,0.896375,0.416894,0.660331,0.387897,0.375444,0.422908,0.307140,0.290349,0.032045,0.086786,0.029767,4.688857,0.905667,0.667789,0.571882,0.397531,0.352351,0.411549,0.331594,0.318383,0.308121,0.303187,0.277044,0.259658,0.213607,0.423102,0.037116,31.718137,2.125772,0.645386,1.122795,0.395629,0.656415,0.380636,0.499027,0.307940,0.282137,0.355403,0.244985,0.240086,0.050784,0.103180,0.037956,7.261947,0.663212,0.503364,0.413578,0.319487,0.254743,0.299566,0.242879,0.223878,0.217969,0.223639,0.202352,0.189131,reggae
0.208703,0.419665,0.064033,-45.677275,3.321057,0.510535,1.008198,0.514915,0.518310,0.136842,0.324926,0.415828,0.325277,0.262779,0.266727,0.356397,0.038816,0.088927,0.036062,5.656750,1.224241,0.852547,0.685436,0.529573,0.512723,0.404336,0.390682,0.449993,0.374810,0.399120,0.413214,0.374978,0.208846,0.415753,0.044700,32.761537,2.504660,0.466755,0.914203,0.445111,0.465960,0.290735,0.351222,0.412506,0.342621,0.236735,0.318204,0.316496,0.050629,0.101705,0.039164,7.752510,0.942811,0.618338,0.493787,0.381678,0.378283,0.297021,0.281643,0.334568,0.271496,0.300675,0.311907,0.268660,reggae
0.204278,0.412780,0.058416,-44.444312,3.392006,0.774014,1.180641,0.753212,0.460499,0.515382,0.303917,0.301292,0.334824,0.398484,0.156802,0.373853,0.036234,0.102353,0.032527,5.134409,1.060679,0.834946,0.672114,0.566117,0.448042,0.390279,0.371974,0.400138,0.348027,0.354866,0.331592,0.293137,0.211905,0.421532,0.040898,31.795933,2.482561,0.627999,0.914350,0.646653,0.369242,0.441156,0.276235,0.281131,0.298905,0.316641,0.184285,0.298115,0.050482,0.110161,0.038677,7.587350,0.800249,0.600162,0.480640,0.413658,0.320203,0.291314,0.265956,0.285371,0.258619,0.255106,0.239092,0.214375,reggae
0.216440,0.440456,0.068118,-39.752193,2.972756,-0.485202,1.140746,0.097203,0.452483,0.402146,0.055406,0.249166,0.418893,0.304112,0.359622,0.447712,0.046318,0.110278,0.044138,5.695167,1.342724,0.748630,0.715890,0.597435,0.433490,0.354515,0.400314,0.383641,0.378452,0.321680,0.320319,0.301667,0.204111,0.402893,0.047928,28.649646,2.180326,0.438383,0.873180,0.330721,0.376001,0.322140,0.304540,0.293455,0.355075,0.291236,0.332342,0.365032,0.047324,0.098792,0.040974,6.377547,0.949260,0.542270,0.514209,0.429673,0.309591,0.258416,0.311046,0.278720,0.276425,0.243278,0.234656,0.217243,reggae
0.215333,0.435595,0.059525,-46.285502,2.999581,-0.243327,1.044058,0.871759,0.557301,0.305380,0.552969,0.411210,0.267048,0.611716,0.108368,0.372954,0.050681,0.113603,0.036078,5.623563,1.114031,0.786731,0.810006,0.564292,0.462593,0.401590,0.387188,0.338793,0.369395,0.385497,0.309794,0.309837,0.203943,0.404591,0.041762,33.278733,2.204320,0.375494,0.893367,0.751979,0.516212,0.278085,0.443064,0.320907,0.273049,0.462085,0.132935,0.300523,0.051165,0.106058,0.038274,7.295408,0.804175,0.565807,0.607684,0.404605,0.336118,0.283299,0.281615,0.240552,0.265050,0.285204,0.227093,0.220488,reggae
0.223730,0.467212,0.063106,-42.867205,1.941855,0.237463,0.724360,-0.112871,0.570082,0.374021,0.133831,0.553937,0.219292,0.214035,0.284224,0.403293,0.063507,0.145668,0.036879,5.813950,1.035047,0.917733,0.773116,0.753995,0.450095,0.428777,0.436471,0.380062,0.384843,0.334904,0.314004,0.318107,0.198612,0.383783,0.044242,30.844354,1.420927,0.570289,0.655418,0.344319,0.454923,0.414517,0.331831,0.410857,0.283780,0.225422,0.245146,0.332561,0.053231,0.111623,0.039049,6.992298,0.741976,0.674983,0.567100,0.553753,0.334317,0.310859,0.321514,0.267177,0.272857,0.238466,0.227452,0.234993,reggae
0.192944,0.383581,0.067092,-47.363576,3.008535,0.959477,1.190337,0.668510,0.595316,0.593919,0.433107,0.251706,0.385248,0.265051,0.479048,0.405172,0.027857,0.071363,0.039776,6.033565,0.824212,0.872586,0.483560,0.474689,0.343732,0.334705,0.295999,0.258041,0.308979,0.246150,0.263736,0.248791,0.220029,0.441814,0.047403,33.984958,2.168204,1.087152,0.876515,0.502134,0.459150,0.458428,0.408334,0.225760,0.334421,0.212728,0.357168,0.307788,0.050753,0.101950,0.039818,7.996817,0.644571,0.665323,0.370052,0.344908,0.243546,0.236022,0.222909,0.183879,0.221928,0.174469,0.184963,0.174677,reggae
