% Created by Marsyas
@relation rockMFCC.arff
@attribute Mean_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Mean_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Mean_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Centroid_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Rolloff_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_Flux_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC0_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC1_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC2_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC3_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC4_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC5_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC6_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC7_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC8_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC9_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC10_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC11_Power_powerFFT_WinHamming_ real
@attribute Std_Acc1000_Std_Mem40_MFCC12_Power_powerFFT_WinHamming_ real
@attribute output {newmetal,metal,rock,jazz,pop,hiphop,classical,reggae,blues,country, disco}


@data
0.226059,0.470282,0.048093,-44.159305,2.516236,0.145488,1.072497,0.400521,0.487541,0.292173,0.464009,0.386344,0.218260,0.271014,0.111829,0.459101,0.040656,0.091081,0.023798,4.298863,0.866858,0.499263,0.517539,0.433049,0.364808,0.336828,0.337992,0.330425,0.337575,0.307959,0.321317,0.365746,0.192011,0.371803,0.033675,31.708168,1.868417,0.328079,0.843794,0.404622,0.442729,0.257963,0.422795,0.452003,0.327824,0.326028,0.241350,0.397474,0.044895,0.083075,0.030478,7.434634,0.696790,0.377137,0.379149,0.340260,0.273541,0.239267,0.250235,0.243974,0.248807,0.231674,0.239503,0.272664,rock
0.205849,0.414587,0.051948,-41.459347,3.353446,0.700618,1.096827,0.330003,0.270963,0.450736,0.757160,0.385533,0.295901,0.396965,0.340894,0.300160,0.032821,0.084898,0.028311,4.268917,0.866421,0.599077,0.451705,0.419016,0.362172,0.340035,0.343394,0.312906,0.271723,0.255141,0.235249,0.243684,0.211041,0.420430,0.036374,29.759987,2.437829,0.550632,0.823024,0.320182,0.233194,0.357642,0.558078,0.298369,0.234744,0.301364,0.258855,0.245176,0.049891,0.101506,0.038456,6.796618,0.696927,0.460896,0.353806,0.310828,0.259247,0.255446,0.247220,0.229705,0.193726,0.189367,0.164765,0.179444,rock
0.266975,0.571883,0.049188,-40.651737,1.742854,0.369736,0.685867,0.265733,0.425833,0.285070,0.483266,0.357986,0.185282,0.358805,0.084331,0.278656,0.047540,0.100328,0.025274,4.060810,0.533884,0.497050,0.475862,0.386281,0.335274,0.315638,0.282619,0.293704,0.304788,0.307208,0.277939,0.324532,0.169258,0.312531,0.034020,29.172015,1.328254,0.350441,0.603375,0.286719,0.371064,0.262966,0.401317,0.292934,0.194537,0.370226,0.204614,0.284894,0.042635,0.078226,0.038563,6.684111,0.399189,0.368540,0.367511,0.295090,0.246997,0.230777,0.201536,0.216577,0.217319,0.221265,0.201225,0.236602,rock
0.197886,0.392446,0.049842,-42.683746,4.546381,0.295546,1.245070,0.606850,0.508721,0.448116,0.286694,0.303588,0.278622,0.222602,0.264160,0.261262,0.024065,0.059504,0.027707,4.148910,0.829418,0.472041,0.519198,0.436718,0.308152,0.302052,0.372375,0.278427,0.288421,0.256305,0.288077,0.252588,0.216604,0.436016,0.034646,30.641087,3.288065,0.481112,0.931763,0.518816,0.395926,0.353562,0.329038,0.280469,0.290767,0.205513,0.252758,0.222301,0.051548,0.111972,0.038019,7.085163,0.809815,0.363441,0.422922,0.345273,0.232177,0.225267,0.271985,0.206254,0.217494,0.184046,0.215321,0.180322,rock
0.218160,0.437329,0.046214,-36.112699,3.742901,-0.534635,0.248141,0.468763,0.391718,0.050369,0.071139,0.103105,0.190329,0.132138,0.236551,0.366823,0.023257,0.041574,0.024656,2.543527,0.567356,0.302146,0.321282,0.281492,0.238784,0.245768,0.243287,0.228118,0.241211,0.233856,0.197353,0.229082,0.201889,0.403296,0.032125,25.896058,2.704526,0.439450,0.257606,0.382695,0.297483,0.215279,0.206471,0.117614,0.228582,0.178480,0.191070,0.334997,0.047544,0.093788,0.038057,6.050782,0.635271,0.218451,0.231321,0.212393,0.168378,0.177011,0.174356,0.163833,0.174210,0.167160,0.136477,0.163268,rock
0.196018,0.393246,0.057862,-44.772501,5.081077,0.239319,0.590288,0.586768,0.730597,0.491205,0.403103,0.162060,0.300465,0.163111,0.393800,0.520057,0.023526,0.051124,0.037290,5.229476,1.272908,0.583273,0.402707,0.348727,0.315382,0.288987,0.271462,0.257043,0.265906,0.277932,0.288927,0.314195,0.217911,0.434925,0.040327,32.171341,3.671680,0.465456,0.527399,0.454175,0.555624,0.403056,0.310742,0.203363,0.269825,0.262634,0.348283,0.415862,0.050347,0.100349,0.039276,7.229866,0.981190,0.431067,0.287818,0.246499,0.227531,0.204689,0.195983,0.185635,0.190919,0.206702,0.212098,0.226458,rock
0.224311,0.460400,0.051849,-41.573160,2.721089,0.125861,0.946865,0.629545,0.540390,0.546467,0.226759,0.294673,0.293603,0.349101,0.234374,0.159865,0.033467,0.085720,0.027036,4.781837,0.681478,0.624059,0.533116,0.448683,0.347887,0.307284,0.336330,0.334598,0.325163,0.312654,0.332902,0.287332,0.198197,0.387683,0.035909,29.818322,1.970353,0.315199,0.744762,0.617337,0.414032,0.417101,0.284464,0.254320,0.258127,0.299305,0.212897,0.147883,0.044464,0.091988,0.038422,6.932926,0.556520,0.452768,0.402964,0.330584,0.261782,0.224810,0.250938,0.239620,0.235809,0.224712,0.240079,0.203832,rock
0.242951,0.510031,0.049488,-40.579857,2.301882,0.424146,0.747437,0.502554,0.545332,0.289676,0.483337,0.297963,0.350576,0.420432,0.190879,0.185096,0.045152,0.116788,0.027318,3.593959,0.776512,0.521010,0.479955,0.331008,0.371711,0.327287,0.293063,0.329033,0.307976,0.300306,0.294220,0.272663,0.185253,0.354025,0.034311,29.142195,1.725556,0.392134,0.621751,0.476755,0.500865,0.266724,0.415293,0.283589,0.296540,0.354859,0.246243,0.260448,0.045704,0.094899,0.038396,6.635638,0.592296,0.386279,0.352145,0.242240,0.276329,0.236011,0.217936,0.236218,0.227771,0.221674,0.219426,0.205406,rock
0.211018,0.429630,0.054185,-41.599455,3.904416,-0.158789,1.232797,0.416229,0.291979,0.353008,0.573037,0.153303,0.201191,0.143888,0.207195,0.177079,0.024436,0.062364,0.031721,4.097584,1.012968,0.684719,0.499342,0.337062,0.326833,0.339818,0.347353,0.333638,0.318503,0.277156,0.273744,0.295966,0.207393,0.409496,0.037608,29.810767,2.818960,0.617239,0.897292,0.382708,0.331331,0.360316,0.517907,0.375516,0.348709,0.240043,0.296470,0.253851,0.047738,0.093703,0.038273,6.889429,0.810237,0.488131,0.357840,0.248461,0.236168,0.249719,0.252925,0.249583,0.237275,0.198099,0.197236,0.226837,rock
0.198079,0.406261,0.056905,-44.021230,4.021142,0.879677,0.766113,0.172485,0.726097,0.329141,0.205176,0.208142,0.178803,0.270037,0.317014,0.348504,0.031589,0.102121,0.037873,4.317364,1.244607,0.587237,0.379053,0.323403,0.288119,0.277738,0.277816,0.246574,0.266724,0.238940,0.273508,0.257310,0.216830,0.427084,0.039852,31.805693,2.970456,0.777897,0.629837,0.208665,0.535404,0.272926,0.227953,0.186562,0.216713,0.211731,0.336041,0.312538,0.050932,0.116372,0.039251,6.670065,0.902077,0.451310,0.289453,0.235124,0.203744,0.200252,0.201210,0.177960,0.196187,0.176690,0.203264,0.188027,rock
